id_menage,region,milieu,taille_menage,nb_enfants_moins_15,ratio_dependance,sexe_chef_menage,age_chef_menage,niveau_education_chef,materiau_toit,materiau_mur,source_eau_potable,possede_terre,superficie_terre_ha,nb_bovins,nb_petits_ruminants,nb_volailles,possede_telephone,possede_radio,possede_velo,possede_moto,distance_marche_km,score_consommation_alimentaire,depenses_mensuelles_pc_fcfa,vulnerable
11,Est,Rural,8,4,1.0,Homme,38,Aucun,Tole,Brique de ciment,Robinet/Eau courante,1,0.63,1,1,5,1,0,1,0,10.5,58,15126.0,0
12,Boucle du Mouhoun,Rural,9,4,0.8,Homme,32,Primaire,Chaume/Paille,Brique de ciment,Puits non protege,1,1.98,0,5,4,1,1,1,0,9.7,50,36501.0,0
13,Nord,Rural,4,2,1.0,Homme,21,Aucun,Tole,Banco (terre),Puits protege/Forage,1,5.78,0,3,4,0,0,1,1,7.6,65,39556.0,0
14,Centre-Nord,Urbain,5,3,1.5,Homme,47,Secondaire,Tole,Banco (terre),Robinet/Eau courante,1,0.91,1,5,5,1,1,1,1,6.6,42,31605.0,0
15,Est,Urbain,9,4,0.8,Homme,41,Primaire,Tole,Brique de ciment,Puits protege/Forage,1,3.31,2,6,0,0,1,1,1,7.5,70,16116.0,0
16,Sahel,Rural,5,3,1.5,Femme,27,Aucun,Tole,Banco (terre),Puits non protege,0,0.0,2,4,5,1,1,0,0,10.8,47,25358.0,1
17,Nord,Rural,5,3,1.5,Homme,46,Aucun,Tole,Banco (terre),Puits protege/Forage,0,0.0,0,6,6,0,1,1,0,14.2,73,30585.0,1
18,Sahel,Urbain,6,3,1.0,Homme,41,Primaire,Chaume/Paille,Dur,Puits protege/Forage,1,0.93,0,4,3,1,0,0,0,3.4,69,16635.0,0
19,Centre-Nord,Rural,10,4,0.67,Homme,39,Secondaire,Tole,Banco (terre),Puits protege/Forage,1,3.0,0,0,1,1,0,1,0,7.3,61,19072.0,1
20,Nord,Urbain,4,2,1.0,Homme,18,Secondaire,Tole,Banco (terre),Puits protege/Forage,0,0.0,0,2,9,0,0,1,1,13.4,51,25186.0,0
21,Centre-Nord,Urbain,7,2,0.4,Homme,54,Primaire,Tole,Dur,Robinet/Eau courante,1,0.82,2,2,8,1,1,1,0,2.8,70,45813.0,0
22,Est,Rural,2,1,1.0,Homme,29,Aucun,Chaume/Paille,Brique de ciment,Puits non protege,1,2.46,0,4,7,0,1,1,0,8.5,61,29772.0,0
23,Boucle du Mouhoun,Urbain,9,5,1.25,Homme,46,Secondaire,Tole,Brique de ciment,Puits non protege,1,1.33,3,5,8,1,0,1,0,0.8,3,20793.0,1
24,Boucle du Mouhoun,Rural,8,4,1.0,Homme,34,Primaire,Chaume/Paille,Banco (terre),Puits protege/Forage,1,1.92,0,3,3,1,1,1,1,5.9,39,24569.0,0
25,Centre-Nord,Rural,7,4,1.33,Femme,40,Primaire,Chaume/Paille,Banco (terre),Puits protege/Forage,1,3.44,2,12,12,1,0,0,0,8.0,55,19934.0,1
26,Sahel,Rural,7,4,1.33,Homme,60,Primaire,Tole,Brique de ciment,Puits protege/Forage,1,0.85,0,5,5,1,1,1,0,7.9,56,22350.0,0
27,Est,Rural,2,1,1.0,Homme,52,Primaire,Chaume/Paille,Banco (terre),Puits non protege,1,1.07,0,3,3,1,1,0,0,8.6,63,37236.0,1
28,Sahel,Urbain,5,2,0.67,Homme,60,Primaire,Tole,Brique de ciment,Puits non protege,0,0.0,3,4,7,1,0,0,0,15.6,77,11339.0,0
29,Sahel,Urbain,5,2,0.67,Homme,49,Primaire,Chaume/Paille,Banco (terre),Puits protege/Forage,1,5.38,0,6,10,1,0,1,0,1.1,61,48617.0,0
30,Nord,Urbain,7,4,1.33,Homme,50,Secondaire,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,2.75,0,5,4,1,1,1,1,5.4,19,72051.0,0
31,Centre-Nord,Urbain,12,5,0.71,Homme,22,Secondaire,Chaume/Paille,Banco (terre),Puits non protege,1,1.84,0,6,5,0,0,1,1,5.0,55,28945.0,1
32,Boucle du Mouhoun,Rural,6,3,1.0,Homme,41,Aucun,Tole,Banco (terre),Robinet/Eau courante,1,2.73,3,4,10,1,0,0,1,21.2,71,18509.0,0
33,Est,Rural,7,3,0.75,Homme,42,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,1,0.93,0,5,5,1,0,0,0,13.5,54,45409.0,1
34,Est,Urbain,11,5,0.83,Homme,61,Primaire,Chaume/Paille,Brique de ciment,Puits non protege,1,1.53,0,3,6,0,1,0,0,3.8,55,30488.0,1
35,Est,Urbain,9,4,0.8,Homme,38,Primaire,Tole,Brique de ciment,Puits protege/Forage,1,0.35,0,2,3,1,1,1,1,13.2,44,21233.0,0
36,Sahel,Rural,9,5,1.25,Homme,48,Primaire,Tole,Banco (terre),Puits non protege,0,0.0,0,2,4,1,1,1,0,7.5,67,17373.0,1
37,Sahel,Rural,8,3,0.6,Femme,48,Secondaire,Tole,Brique de ciment,Puits protege/Forage,0,0.0,0,4,4,1,1,1,1,14.1,46,22412.0,0
38,Est,Rural,11,6,1.2,Homme,60,Aucun,Chaume/Paille,Banco (terre),Puits non protege,1,1.71,0,7,7,1,1,1,0,18.6,61,29339.0,1
39,Sahel,Rural,4,2,1.0,Homme,43,Aucun,Tole,Banco (terre),Puits protege/Forage,1,0.12,0,3,9,1,1,1,0,9.9,59,40255.0,0
40,Nord,Urbain,6,3,1.0,Homme,56,Secondaire,Tole,Brique de ciment,Puits non protege,1,1.21,0,2,9,0,1,1,0,2.3,53,30573.0,0
41,Est,Rural,9,4,0.8,Homme,23,Secondaire,Tole,Brique de ciment,Robinet/Eau courante,1,1.68,3,4,3,1,0,0,1,5.0,60,33003.0,0
42,Centre-Nord,Urbain,8,5,1.67,Homme,24,Aucun,Chaume/Paille,Brique de ciment,Robinet/Eau courante,1,1.73,0,0,7,1,0,1,1,6.1,55,23152.0,1
43,Centre-Nord,Urbain,10,6,1.5,Homme,18,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,1,0.43,2,6,2,1,1,1,0,9.8,72,39526.0,1
44,Est,Urbain,4,2,1.0,Homme,55,Aucun,Tole,Banco (terre),Puits protege/Forage,1,2.5,3,6,7,0,1,0,0,26.7,63,24513.0,1
45,Centre-Nord,Rural,6,4,2.0,Femme,54,Aucun,Chaume/Paille,Brique de ciment,Robinet/Eau courante,1,4.89,0,7,8,1,1,0,1,16.3,69,61519.0,0
46,Centre-Nord,Rural,13,6,0.86,Homme,57,Primaire,Tole,Brique de ciment,Puits non protege,1,2.71,2,3,6,1,1,1,1,9.6,40,20055.0,0
47,Est,Urbain,6,3,1.0,Femme,36,Aucun,Chaume/Paille,Brique de ciment,Puits protege/Forage,1,1.54,5,1,9,1,0,1,0,2.2,39,32136.0,0
48,Est,Urbain,8,4,1.0,Femme,38,Aucun,Chaume/Paille,Dur,Puits protege/Forage,1,4.17,1,4,7,1,0,1,1,4.9,53,72058.0,0
49,Nord,Rural,9,4,0.8,Homme,43,Primaire,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,0.93,3,2,4,0,1,0,1,19.4,64,,0
50,Sahel,Urbain,6,3,1.0,Homme,64,Primaire,Chaume/Paille,Brique de ciment,Puits non protege,0,0.0,0,5,8,1,0,1,0,19.3,61,37625.0,0
51,Sahel,Rural,5,2,0.67,Homme,67,Primaire,Tole,Brique de ciment,Puits non protege,1,1.41,5,2,7,1,1,1,0,7.5,40,30748.0,0
52,Sahel,Urbain,8,4,1.0,Femme,55,Aucun,Chaume/Paille,Banco (terre),Puits non protege,1,4.2,3,5,6,0,0,1,0,4.6,64,27550.0,1
53,Centre-Nord,Rural,6,3,1.0,Homme,49,Aucun,Tole,Banco (terre),Puits non protege,1,0.65,3,3,6,1,1,0,1,17.8,42,24879.0,1
54,Nord,Rural,3,2,2.0,Homme,62,Aucun,Chaume/Paille,Brique de ciment,Puits non protege,1,0.65,0,0,7,0,0,1,0,17.3,63,20893.0,1
55,Centre-Nord,Rural,9,4,0.8,Homme,42,Secondaire,Tole,Banco (terre),Robinet/Eau courante,1,3.53,1,4,7,1,1,1,1,7.6,57,13479.0,0
56,Centre-Nord,Rural,9,6,2.0,Femme,40,Aucun,Dur (beton/tuile),Brique de ciment,Puits non protege,1,2.15,0,4,8,1,0,1,1,13.0,48,35892.0,0
57,Est,Rural,5,2,0.67,Homme,43,Primaire,Tole,Brique de ciment,Puits non protege,1,3.73,0,3,4,1,0,0,1,7.8,43,13466.0,0
58,Nord,Rural,10,5,1.0,Homme,32,Primaire,Tole,Banco (terre),Puits non protege,1,0.71,0,9,9,1,1,0,0,15.5,54,36067.0,0
59,Sahel,Rural,12,5,0.71,Homme,43,Secondaire,Tole,Banco (terre),Puits protege/Forage,1,0.83,1,8,3,1,0,0,0,9.6,53,23408.0,0
60,Sahel,Urbain,8,3,0.6,Homme,30,Aucun,Tole,Brique de ciment,Puits protege/Forage,0,0.0,2,2,6,0,0,1,1,4.3,35,17501.0,0
61,Nord,Rural,15,6,0.67,Femme,58,Aucun,Dur (beton/tuile),Banco (terre),Puits non protege,0,0.0,0,2,8,0,1,1,0,13.5,62,50643.0,1
62,Est,Urbain,8,4,1.0,Femme,52,Secondaire,Tole,Brique de ciment,Puits protege/Forage,1,1.79,0,6,4,1,0,1,1,5.9,71,14015.0,0
63,Nord,Urbain,7,3,0.75,Homme,64,Aucun,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,1.06,2,4,3,1,0,1,0,9.4,66,19935.0,0
64,Centre-Nord,Rural,11,6,1.2,Homme,24,Primaire,Tole,Dur,Puits non protege,1,1.41,3,3,5,1,0,1,1,6.4,57,20792.0,0
65,Nord,Rural,8,5,1.67,Femme,70,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,1,2.48,0,2,3,1,1,1,0,6.9,45,28776.0,1
66,Nord,Urbain,11,5,0.83,Homme,25,Superieur,Tole,Banco (terre),Puits protege/Forage,1,2.58,2,8,8,1,0,0,0,5.2,54,20420.0,0
67,Nord,Urbain,11,4,0.57,Homme,29,Primaire,Chaume/Paille,Brique de ciment,Puits protege/Forage,1,4.72,4,7,5,0,1,0,0,3.1,50,51936.0,0
68,Est,Rural,7,3,0.75,Homme,37,Aucun,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,3.17,0,13,6,1,1,1,1,8.0,54,14515.0,1
69,Sahel,Urbain,6,2,0.5,Homme,62,Secondaire,Tole,Banco (terre),Robinet/Eau courante,1,0.2,0,7,7,0,0,1,0,5.3,67,169133.0,0
70,Est,Rural,7,3,0.75,Femme,48,Primaire,Tole,Banco (terre),Puits protege/Forage,0,0.0,3,6,4,0,1,0,0,7.4,50,16706.0,0
71,Sahel,Rural,3,2,2.0,Homme,42,Primaire,Tole,Brique de ciment,Puits protege/Forage,1,0.76,0,2,7,1,1,1,1,19.1,23,101736.0,0
72,Est,Urbain,8,4,1.0,Homme,35,Aucun,Tole,Brique de ciment,Puits non protege,1,2.95,1,6,4,1,1,0,1,2.9,65,43997.0,0
73,Centre-Nord,Rural,7,3,0.75,Homme,27,Aucun,Tole,Banco (terre),Puits protege/Forage,1,4.28,2,7,12,1,1,1,1,9.1,58,25601.0,0
74,Sahel,Urbain,4,2,1.0,Homme,60,Primaire,Tole,Banco (terre),Puits protege/Forage,1,0.49,0,1,5,1,1,1,0,5.2,54,29792.0,0
75,Sahel,Rural,12,5,0.71,Femme,55,Aucun,Dur (beton/tuile),Banco (terre),Puits non protege,1,3.01,0,2,6,0,0,0,0,10.1,33,22687.0,1
76,Est,Urbain,8,4,1.0,Homme,63,Secondaire,Chaume/Paille,Dur,Robinet/Eau courante,0,0.0,0,3,5,0,1,0,0,4.3,39,31451.0,0
77,Est,Rural,8,5,1.67,Homme,50,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,1,1.37,0,7,8,1,0,1,1,14.1,41,19309.0,1
78,Nord,Rural,4,2,1.0,Homme,18,Primaire,Tole,Brique de ciment,Puits non protege,1,0.92,0,1,4,1,1,1,1,14.5,43,37014.0,0
79,Nord,Rural,9,5,1.25,Homme,29,Aucun,Tole,Banco (terre),Robinet/Eau courante,1,1.23,0,5,8,1,1,0,1,7.5,44,29199.0,0
80,Centre-Nord,Rural,11,7,1.75,Homme,51,Primaire,Tole,Brique de ciment,Puits protege/Forage,1,1.8,0,7,5,0,1,1,0,15.1,33,17235.0,1
81,Nord,Urbain,6,3,1.0,Homme,40,Aucun,Chaume/Paille,Dur,Puits non protege,0,0.0,5,3,5,0,1,1,1,3.4,86,32605.0,0
82,Est,Rural,5,3,1.5,Homme,38,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,0,0.0,0,7,8,1,0,1,0,,76,31712.0,0
83,Centre-Nord,Rural,5,3,1.5,Femme,31,Aucun,Chaume/Paille,Brique de ciment,Robinet/Eau courante,1,1.38,6,4,5,0,0,1,0,9.6,56,19483.0,1
84,Sahel,Rural,9,5,1.25,Homme,57,Primaire,Tole,Banco (terre),Robinet/Eau courante,0,0.0,0,3,7,1,0,0,0,7.2,51,22193.0,1
85,Sahel,Rural,11,6,1.2,Homme,51,Aucun,Tole,Brique de ciment,Puits non protege,1,2.36,2,2,4,0,1,0,1,5.6,81,33881.0,1
86,Sahel,Urbain,6,3,1.0,Homme,52,Primaire,Tole,Banco (terre),Puits protege/Forage,1,1.93,3,10,8,1,1,0,0,6.0,78,43951.0,0
87,Centre-Nord,Rural,6,3,1.0,Homme,37,Aucun,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,0.13,0,8,7,1,0,0,0,6.2,40,25235.0,1
88,Est,Urbain,12,7,1.4,Homme,47,Primaire,Chaume/Paille,Banco (terre),Robinet/Eau courante,0,0.0,0,4,4,0,1,0,1,14.3,56,40896.0,1
89,Sahel,Rural,5,2,0.67,Femme,28,Primaire,Chaume/Paille,Banco (terre),Puits non protege,0,0.0,0,6,3,1,0,1,1,7.9,49,45487.0,1
90,Nord,Urbain,5,3,1.5,Femme,43,Aucun,Tole,Dur,Puits protege/Forage,1,3.31,3,4,4,1,1,1,0,9.2,48,48362.0,0
91,Sahel,Rural,5,2,0.67,Homme,18,Aucun,Tole,Brique de ciment,Robinet/Eau courante,1,1.91,0,5,3,1,0,0,0,12.8,49,32456.0,0
92,Nord,Rural,2,1,1.0,Femme,25,Aucun,Chaume/Paille,Banco (terre),Puits non protege,1,1.17,0,7,3,1,1,1,1,7.2,51,17930.0,1
93,Est,Urbain,5,2,0.67,Homme,41,Primaire,Tole,Banco (terre),Puits protege/Forage,0,0.0,1,4,5,1,1,1,0,3.9,55,40178.0,0
94,Est,Urbain,4,2,1.0,Homme,76,Superieur,Tole,Brique de ciment,Puits protege/Forage,0,0.0,1,5,10,1,1,1,0,3.9,55,24683.0,0
95,Est,Urbain,7,4,1.33,Homme,22,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,0,0.0,2,7,3,0,1,1,1,6.6,75,33790.0,0
96,Nord,Rural,9,4,0.8,Homme,29,Primaire,Tole,Banco (terre),Puits protege/Forage,1,0.76,3,3,10,1,1,0,1,28.3,39,20271.0,1
97,Est,Rural,8,4,1.0,Homme,48,Primaire,Tole,Brique de ciment,Puits non protege,0,0.0,2,4,5,0,1,1,0,10.4,67,20536.0,1
98,Sahel,Urbain,6,3,1.0,Femme,68,Primaire,Tole,Banco (terre),Puits protege/Forage,1,1.57,0,1,4,1,0,0,1,3.7,35,19621.0,1
99,Sahel,Rural,4,2,1.0,Homme,48,Primaire,Chaume/Paille,Banco (terre),Puits non protege,1,0.58,0,8,3,1,0,1,1,10.8,56,14820.0,1
100,Boucle du Mouhoun,Urbain,8,3,0.6,Homme,54,Superieur,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,0.22,2,1,4,0,0,0,0,2.2,69,20660.0,0
101,Boucle du Mouhoun,Rural,7,4,1.33,Homme,41,Primaire,Tole,Banco (terre),Puits protege/Forage,1,0.32,2,3,1,0,1,1,1,7.0,61,16902.0,0
102,Nord,Rural,4,2,1.0,Femme,38,Secondaire,Chaume/Paille,Brique de ciment,Puits non protege,0,0.0,3,6,8,1,1,0,1,18.4,47,34711.0,1
103,Sahel,Urbain,9,4,0.8,Homme,46,Aucun,Tole,Brique de ciment,Robinet/Eau courante,1,3.95,0,7,6,1,0,1,0,4.6,57,16661.0,0
104,Boucle du Mouhoun,Urbain,7,3,0.75,Femme,36,Secondaire,Tole,Dur,Puits protege/Forage,1,2.33,3,1,5,1,0,1,0,2.9,78,19906.0,0
105,Centre-Nord,Rural,8,4,1.0,Femme,54,Superieur,Tole,Banco (terre),Puits protege/Forage,1,1.4,4,4,3,1,1,1,0,5.9,43,26942.0,0
106,Centre-Nord,Rural,7,3,0.75,Homme,24,Secondaire,Tole,Brique de ciment,Puits non protege,1,5.45,0,3,8,1,1,0,1,9.3,61,60815.0,0
107,Est,Rural,11,4,0.57,Homme,57,Aucun,Tole,Dur,Puits protege/Forage,0,0.0,1,5,4,1,1,0,1,6.0,67,19704.0,0
108,Sahel,Rural,3,2,2.0,Homme,46,Secondaire,Chaume/Paille,Brique de ciment,Robinet/Eau courante,1,1.92,0,5,2,0,1,0,1,15.6,46,14444.0,1
109,Sahel,Rural,10,4,0.67,Homme,42,Aucun,Chaume/Paille,Dur,Puits non protege,1,1.15,0,3,9,1,0,0,0,12.8,80,14908.0,1
110,Boucle du Mouhoun,Rural,8,3,0.6,Homme,24,Primaire,Tole,Dur,Robinet/Eau courante,1,4.08,2,4,8,1,1,0,0,7.6,85,18264.0,0
111,Est,Urbain,6,4,2.0,Homme,32,Aucun,Tole,Brique de ciment,Puits non protege,0,0.0,2,6,3,1,1,1,1,16.5,70,20019.0,1
112,Sahel,Urbain,9,5,1.25,Homme,61,Primaire,Tole,Dur,Puits protege/Forage,1,0.76,0,6,3,1,1,1,0,3.9,70,75892.0,0
113,Est,Rural,7,3,0.75,Homme,42,Aucun,Tole,Brique de ciment,Puits protege/Forage,0,0.0,2,4,3,1,0,1,1,8.6,24,,0
114,Nord,Rural,7,4,1.33,Homme,49,Aucun,Tole,Banco (terre),Puits non protege,1,1.68,2,7,4,0,1,1,0,7.0,31,23347.0,1
115,Sahel,Rural,5,3,1.5,Homme,34,Aucun,Chaume/Paille,Dur,Robinet/Eau courante,0,0.0,0,3,5,1,0,0,0,12.3,51,61931.0,1
116,Centre-Nord,Rural,13,5,0.62,Homme,45,Aucun,Chaume/Paille,Brique de ciment,Puits non protege,1,0.75,0,3,6,0,0,1,1,6.2,41,20421.0,1
117,Centre-Nord,Rural,8,3,0.6,Homme,27,Aucun,Tole,Banco (terre),Robinet/Eau courante,1,0.87,0,5,5,1,0,0,1,7.7,62,22358.0,0
118,Centre-Nord,Rural,8,5,1.67,Homme,46,Secondaire,Chaume/Paille,Banco (terre),Puits non protege,1,0.91,1,6,9,1,1,1,0,7.3,6,21762.0,1
119,Est,Urbain,9,5,1.25,Femme,50,Primaire,Dur (beton/tuile),Banco (terre),Puits non protege,1,1.39,2,5,10,0,1,1,0,6.4,62,42705.0,0
120,Nord,Rural,7,5,2.5,Homme,49,Secondaire,Chaume/Paille,Brique de ciment,Robinet/Eau courante,1,0.59,3,6,3,0,0,0,1,5.7,49,26069.0,1
121,Nord,Rural,12,5,0.71,Femme,33,Secondaire,Tole,Banco (terre),Puits protege/Forage,1,3.63,0,3,2,0,0,1,0,8.9,43,53013.0,0
122,Nord,Rural,4,3,3.0,Homme,41,Aucun,Chaume/Paille,Banco (terre),Puits non protege,1,0.32,0,5,6,1,0,1,1,15.6,83,32706.0,1
123,Sahel,Urbain,11,5,0.83,Homme,52,Primaire,Tole,Banco (terre),Puits protege/Forage,1,4.16,6,7,4,1,1,1,1,2.0,47,40499.0,0
124,Est,Urbain,8,5,1.67,Femme,42,Primaire,Chaume/Paille,Banco (terre),Puits non protege,0,0.0,1,2,4,0,1,1,0,8.6,26,11882.0,1
125,Sahel,Rural,6,4,2.0,Homme,41,Aucun,Tole,Dur,Robinet/Eau courante,1,0.7,2,4,2,1,1,1,1,13.8,59,12524.0,0
126,Est,Urbain,8,3,0.6,Homme,70,Primaire,Dur (beton/tuile),Banco (terre),Puits non protege,0,0.0,1,3,4,1,1,1,0,4.7,58,12711.0,0
127,Est,Rural,5,2,0.67,Homme,33,Primaire,Tole,Banco (terre),Puits protege/Forage,1,0.81,2,5,11,1,1,1,1,4.7,49,22189.0,0
128,Sahel,Rural,6,3,1.0,Homme,59,Primaire,Chaume/Paille,Banco (terre),Puits non protege,1,2.69,0,6,4,1,1,1,0,12.4,90,13461.0,1
129,Sahel,Urbain,7,4,1.33,Femme,30,Primaire,Tole,Brique de ciment,Puits protege/Forage,0,0.0,1,2,8,1,1,0,0,,55,47011.0,0
130,Nord,Rural,6,2,0.5,Femme,54,Aucun,Tole,Brique de ciment,Robinet/Eau courante,1,8.79,0,5,4,0,1,1,0,19.7,68,24597.0,0
131,Sahel,Rural,8,5,1.67,Homme,54,Primaire,Chaume/Paille,Banco (terre),Robinet/Eau courante,1,2.22,5,5,7,1,1,0,0,9.7,57,35486.0,0
132,Boucle du Mouhoun,Rural,4,2,1.0,Homme,38,Aucun,Tole,Banco (terre),Puits protege/Forage,1,0.33,0,4,6,1,1,1,1,5.2,72,21557.0,0
133,Nord,Rural,10,5,1.0,Homme,29,Secondaire,Tole,Dur,Puits non protege,1,0.66,0,7,13,1,1,0,0,12.3,47,38994.0,0
134,Est,Urbain,6,3,1.0,Femme,19,Aucun,Tole,Brique de ciment,Puits non protege,1,2.14,0,4,11,1,0,0,0,1.4,35,11111.0,1
135,Nord,Rural,6,4,2.0,Homme,37,Primaire,Tole,Brique de ciment,Robinet/Eau courante,1,1.35,2,3,3,1,1,1,1,11.4,64,26318.0,0
136,Sahel,Rural,6,2,0.5,Femme,52,Primaire,Tole,Banco (terre),Puits non protege,0,0.0,4,2,4,1,1,1,0,13.2,57,33702.0,0
137,Boucle du Mouhoun,Rural,10,5,1.0,Homme,31,Aucun,Tole,Dur,Puits protege/Forage,1,1.94,0,5,7,1,1,1,0,15.8,65,35005.0,0
138,Est,Rural,3,1,0.5,Homme,46,Aucun,Chaume/Paille,Brique de ciment,Puits protege/Forage,0,0.0,4,1,9,0,0,0,0,,42,23319.0,0
139,Centre-Nord,Rural,8,5,1.67,Homme,26,Aucun,Tole,Banco (terre),Robinet/Eau courante,1,1.18,1,4,5,1,1,1,1,6.5,60,12457.0,1
140,Sahel,Rural,8,5,1.67,Homme,42,Primaire,Chaume/Paille,Dur,Puits protege/Forage,1,2.73,1,4,3,1,0,0,0,9.8,26,42408.0,1
141,Est,Urbain,7,3,0.75,Homme,30,Secondaire,Chaume/Paille,Brique de ciment,Puits protege/Forage,1,2.03,2,4,6,0,1,1,0,,44,22550.0,0
142,Est,Rural,5,2,0.67,Homme,44,Aucun,Chaume/Paille,Brique de ciment,Robinet/Eau courante,1,2.66,0,2,7,1,1,1,1,8.1,41,23449.0,0
143,Boucle du Mouhoun,Rural,8,4,1.0,Homme,38,Primaire,Tole,Brique de ciment,Robinet/Eau courante,1,0.46,0,6,3,1,1,0,0,7.2,60,73031.0,0
144,Nord,Rural,9,4,0.8,Homme,30,Secondaire,Chaume/Paille,Banco (terre),Puits protege/Forage,1,0.76,3,2,6,1,1,1,1,14.4,44,28098.0,0
145,Est,Rural,5,3,1.5,Homme,36,Aucun,Chaume/Paille,Banco (terre),Puits protege/Forage,1,3.45,4,2,0,0,1,0,0,17.7,30,21301.0,1
146,Sahel,Rural,5,3,1.5,Homme,33,Secondaire,Chaume/Paille,Banco (terre),Puits protege/Forage,1,0.48,3,5,6,1,1,0,0,11.9,43,20734.0,1
147,Est,Rural,9,4,0.8,Homme,28,Aucun,Chaume/Paille,Brique de ciment,Puits protege/Forage,1,2.54,0,4,7,1,0,1,0,13.6,62,35966.0,0
148,Nord,Rural,8,5,1.67,Homme,59,Aucun,Dur (beton/tuile),Banco (terre),Puits non protege,1,0.42,0,2,6,0,1,1,0,9.8,54,18594.0,1
149,Est,Urbain,6,3,1.0,Femme,40,Aucun,Tole,Banco (terre),Puits protege/Forage,1,1.66,2,1,4,1,1,1,0,5.5,40,33869.0,0
150,Sahel,Urbain,7,3,0.75,Femme,18,Aucun,Tole,Dur,Puits protege/Forage,1,1.05,0,3,6,1,0,0,0,1.4,65,44161.0,0
151,Centre-Nord,Rural,7,3,0.75,Homme,37,Primaire,Tole,Banco (terre),Puits non protege,1,0.7,4,5,9,1,1,0,0,10.9,77,25855.0,0
152,Boucle du Mouhoun,Rural,5,2,0.67,Homme,57,Secondaire,Chaume/Paille,Brique de ciment,Puits non protege,1,1.76,0,4,2,1,0,0,1,13.1,67,41962.0,0
153,Sahel,Rural,3,2,2.0,Homme,35,Aucun,Tole,Banco (terre),Puits protege/Forage,0,0.0,2,2,4,1,1,1,1,8.4,15,26083.0,0
154,Nord,Rural,8,3,0.6,Homme,64,Secondaire,Dur (beton/tuile),Banco (terre),Puits non protege,1,0.86,1,2,5,0,1,1,0,8.6,56,19745.0,0
155,Sahel,Rural,3,2,2.0,Femme,34,Aucun,Tole,Banco (terre),Puits protege/Forage,0,0.0,0,6,8,1,1,1,0,4.8,50,12720.0,1
156,Nord,Urbain,11,5,0.83,Homme,52,Aucun,Tole,Banco (terre),Puits protege/Forage,1,1.38,0,7,11,1,0,1,1,4.7,19,30449.0,1
157,Est,Urbain,4,2,1.0,Homme,58,Secondaire,Tole,Banco (terre),Puits protege/Forage,0,0.0,2,6,3,1,1,0,0,10.5,31,30737.0,0
